# r/xi n_trench/mu n_bucket/mu
3.569459e+01 1.000000e+00 1.000000e+00
3.596399e+01 1.000000e+00 1.000000e+00
3.623338e+01 1.000000e+00 1.000000e+00
3.650277e+01 1.000000e+00 1.000000e+00
3.677217e+01 1.000000e+00 1.000000e+00
3.704156e+01 1.000000e+00 1.000000e+00
3.731095e+01 1.000000e+00 1.000000e+00
3.758035e+01 1.000000e+00 1.000000e+00
3.784974e+01 1.000000e+00 1.000000e+00
3.811913e+01 1.000000e+00 1.000000e+00
3.838852e+01 1.000000e+00 1.000000e+00
3.865792e+01 1.000000e+00 9.999999e-01
3.892731e+01 1.000000e+00 9.999999e-01
3.919670e+01 1.000000e+00 9.999999e-01
3.946610e+01 1.000000e+00 9.999998e-01
3.973549e+01 1.000000e+00 9.999997e-01
4.000488e+01 1.000000e+00 9.999996e-01
4.027428e+01 1.000000e+00 9.999994e-01
4.054367e+01 1.000000e+00 9.999992e-01
4.081306e+01 1.000000e+00 9.999988e-01
4.108246e+01 1.000000e+00 9.999982e-01
4.135185e+01 1.000000e+00 9.999974e-01
4.162124e+01 1.000000e+00 9.999963e-01
4.189064e+01 1.000000e+00 9.999946e-01
4.216003e+01 1.000000e+00 9.999921e-01
4.242942e+01 1.000000e+00 9.999884e-01
4.269881e+01 1.000000e+00 9.999831e-01
4.296821e+01 1.000000e+00 9.999754e-01
4.323760e+01 1.000000e+00 9.999641e-01
4.350699e+01 1.000000e+00 9.999476e-01
4.377639e+01 1.000000e+00 9.999236e-01
4.404578e+01 1.000000e+00 9.998886e-01
4.431517e+01 1.000000e+00 9.998376e-01
4.458457e+01 1.000001e+00 9.997633e-01
4.485396e+01 1.000001e+00 9.996549e-01
4.512335e+01 1.000001e+00 9.994971e-01
4.539275e+01 1.000002e+00 9.992672e-01
4.566214e+01 1.000002e+00 9.989325e-01
4.593153e+01 1.000004e+00 9.984456e-01
4.620093e+01 1.000005e+00 9.977375e-01
4.647032e+01 1.000007e+00 9.967087e-01
4.673971e+01 1.000011e+00 9.952156e-01
4.700911e+01 1.000016e+00 9.930514e-01
4.727850e+01 1.000023e+00 9.899199e-01
4.754789e+01 1.000034e+00 9.853991e-01
4.781728e+01 1.000049e+00 9.788928e-01
4.808668e+01 1.000072e+00 9.695667e-01
4.835607e+01 1.000104e+00 9.562723e-01
4.862546e+01 1.000152e+00 9.374623e-01
4.889486e+01 1.000221e+00 9.111181e-01
4.916425e+01 1.000322e+00 8.747323e-01
4.943364e+01 1.000468e+00 8.254259e-01
4.970304e+01 1.000679e+00 7.603241e-01
4.997243e+01 1.000986e+00 6.773426e-01
5.024182e+01 1.001429e+00 5.764619e-01
5.051122e+01 1.002070e+00 4.612885e-01
5.078061e+01 1.002993e+00 3.401508e-01
5.105000e+01 1.004320e+00 2.254530e-01
5.131940e+01 1.006225e+00 1.303040e-01
5.158879e+01 1.008950e+00 6.329447e-02
5.185818e+01 1.012833e+00 2.469089e-02
5.212758e+01 1.018343e+00 7.303758e-03
5.239697e+01 1.026123e+00 1.521432e-03
5.266636e+01 1.037039e+00 2.026633e-04
5.293575e+01 1.052241e+00 1.522758e-05
5.320515e+01 1.073210e+00 5.491679e-07
5.347454e+01 1.101786e+00 7.753423e-09
5.374393e+01 1.140101e+00 3.339887e-11
5.401333e+01 1.190360e+00 3.286530e-14
5.428272e+01 1.254334e+00 5.435813e-18
5.455211e+01 1.332487e+00 1.148073e-22
5.482151e+01 1.422925e+00 2.620497e-28
5.509090e+01 1.520755e+00 4.685560e-34
5.536029e+01 1.618715e+00 1.637744e-35
5.562969e+01 1.709205e+00 1.055484e-34
5.589908e+01 1.786610e+00 3.665957e-34
5.616847e+01 1.848460e+00 6.339776e-35
5.643787e+01 1.895114e+00 5.007486e-37
5.670726e+01 1.928623e+00 5.543130e-35
5.697665e+01 1.951614e+00 6.159677e-35
5.724605e+01 1.966540e+00 8.551378e-35
5.751544e+01 1.975297e+00 1.050777e-34
5.778483e+01 1.979082e+00 1.465634e-35
5.805422e+01 1.978337e+00 3.636494e-35
5.832362e+01 1.972671e+00 6.144944e-35
5.859301e+01 1.960714e+00 8.092381e-36
5.886240e+01 1.939827e+00 1.077750e-34
